id,time,key
尹*华,2020/2/18 下午5:26:00,符号 男女生 类别 可用 方差分析 用来 检验 表示 分别 运算 数值 变量 意义 具有 现场 现实 现实意义 现象 现金 班主任 特征 班级 班长 理想 球形 环境温度 理想气体 理查 理清 理解 理解力 理解能力 理论 理论值 甚少 甚远 生产 环节 特殊 环境污染 狭隘 特性 特色化 特质 状况 状图 状态 犹豫 独特 独立
尹*华,2020/2/18 下午5:27:06,数字 运算 算数 成绩排名 顺序排列 关系 现象 只能 教育 表示 进行 序数 顺序 尺度 教学 班主任 现实 现实意义 现场 环境污染 现金 环节 环境温度 一一对应 班级 班长 球形 理想 理想气体 理查 理清 理解 理解力 理解能力 理论 理论值 环境 率越 率高 状图 特异性 特征 特征函数 特征分析 特征参数 特性 特殊 特点 特色化 特质
尹*华,2020/2/18 下午5:32:18,间隔 指数值 算术 又称 位置 数据分析 平均值 标准差 零点 运算 要求 相关系数 距离 确定 尺度 计算 方法 现实意义 现象 现实 环节 现场 一一对应 环境污染 现金 班主任 班级 班长 球形 理想 理想气体 理查 理清 理解 理解力 环境温度 率随 环境 率高 特征函数 特征分析 特征参数 特性 特殊 特点 特色化 特质 状况 状图 状态
尹*华,2020/2/18 下午5:35:44,负数 尺度 是不是 距离 比例 一一对应 班级 环境污染 环境温度 环节 现场 现实 现实意义 现象 现金 班主任 班长 率高 球形 理想 理想气体 理查 理清 理解 理解力 理解能力 理论 理论值 甚少 环境 率较 率随 生产 特定 特异 特异性 特征 特征函数 特征分析 特征参数 特性 特殊 特点 特色化 特质 状况 状图 状态 犹豫 独特
尹*华,2020/2/18 下午5:37:12,尺度 包含 有没有 好像 比例 关系 二者 定义 距离 班长 球形 班级 班主任 现金 现象 现实意义 现实 理想 一一对应 理想气体 理查 现场 理解 理解力 理解能力 理论 理论值 甚少 甚远 生产 生平 生态 理清 环境污染 环节 环境温度 特征分析 特征参数 特性 特殊 特点 特色化 特质 状况 状图 状态 犹豫 独特 独立 独立性
李*格,2020/2/20 下午5:15:56,名义 变量 农村 编码 无法 地区 班级 操作 运算 进行 数值 需要 尺度 现实意义 一一对应 现实 现金 现场 环节 环境温度 现象 球形 班主任 班长 理想 理想气体 理查 理清 理解 理解力 理解能力 理论 理论值 甚少 环境污染 率较 环境 状态 特征 特征函数 特征分析 特征参数 特性 特殊 特点 特色化 特质 状况 状图 犹豫
张*萱,2020/2/25 下午8:55:37,尺度 距离 统计 数字 比例 频数 具有 方差分析 进行 检验 名义 序数 数值 等量 要求 顺序 处理 代数 数别 考试成绩 比较 身长 表示 量度 指数值 不可 算术 加法 绝对零度 混合 计算 排列 位置 四则运算 现象 体重 乘除 平均值 温度 等价 标准差 成绩 间隔 符号 单位 零点 运算 水平 相关系数 得到
吴*凡,2020/2/24 下午8:43:28,应为 零点 一一对应 球形 环境污染 环境温度 环节 现场 现实 现实意义 现象 现金 班主任 班级 班长 理想 率高 理想气体 理查 理清 理解 理解力 理解能力 理论 理论值 甚少 甚远 生产 生平 环境 率随 生态系统 状况 特异 特异性 特征 特征函数 特征分析 特征参数 特性 特殊 特点 特色化 特质 状图 率较 状态 犹豫 独特 独立
王*娇,2020/2/19 下午2:49:00,正数 负数 量表 距离 零点 尺度 觉得 收集 中距离 去减 标尺 接纳 反向 习惯性 数值 人为 实际意义 统一 探讨 时所 无关 总数 规定 看到 位置 数据 温度 单位 一致 具体 定义 应该 分为 要求 判断 理解 得到 比例 问题 理想 理清 球形 理查 理解能力 班长 理想气体 理论 理解力 现象 班级
王*娇,2020/2/19 下午3:00:33,不好意思 为负 偏差 距离 尺度 看到 四则运算 温度 属于 范围 理解 进行 理查 理想气体 环节 现场 现实 理论值 理论 现实意义 理解能力 理解力 现象 现金 班主任 班级 班长 球形 环境污染 理清 理想 环境温度 一一对应 环境 率高 特征 特征函数 特征分析 特征参数 特性 特殊 特点 特色化 特质 状况 状图 状态 犹豫 独特 独立
