id,time,key
尹*华,2020/2/18 下午5:26:00,可用类别 方差分析检验 类别变量 类别符号 符号班 符号意义 具有符号 数值仅 不能运算 男女生表示 不同类别 中可用 仅具有 检验中 表示不同
尹*华,2020/2/18 下午5:27:06,中的顺序排列 序数尺度 数字序数 现象中的 算数运算 尺度数字 进行算数 求教学 关系运算 用于求 顺序关系 中顺序 教育现象 教学中 只能进行 进行关系 关系表示 不能进行 表示教育
尹*华,2020/2/18 下午5:32:18,又称间隔 平均值标准差 指数值之间 标准差求 求相关系数 相关系数数据分析 算术运算 间隔尺度 计算平均值 数据分析方法 距离间隔 零点位置 确定零点 用于计算 之间距离 要求确定
尹*华,2020/2/18 下午5:35:44,比例尺值 尺度值 距离尺度 值负 负数 是不是距离 不能负 值不能
尹*华,2020/2/18 下午5:37:12,比例尺度 尺度定义 提尺度 尺度距离 距离尺度 好像比例 包含关系 没有包含
李*格,2020/2/20 下午5:15:56,名义变量 尺度变量 变量直接 名义尺度 需要编码 进行运算 无法名义 进行操作 便需要 城市农村 地区城市 直接进行
张*萱,2020/2/25 下午8:55:37,距离尺度 尺度数字 尺度值 统计处理 序数尺度 频数统计 名义尺度 比例尺度 进行频数 代数运算 具有等价 具有绝对零度 尺度序数 尺度指数值 尺度数值 尺度比例尺 尺度量度 指数值间 排列顺序 方差分析检验 比例尺具有 求相关系数 相关系数统计 等价单位 等量水 算术平均值 绝对零度距离 统计方差分析 考试成绩排 计算标准差 计算算术平均 身长体重 进行代数 量度水平 进行四则运算 体重数值 不能乘除 具有加法 加法性 符号意义
吴*凡,2020/2/24 下午8:43:28,应为没有 绝对零点 没有绝对
王*娇,2020/2/19 下午2:49:00,收集数据 李克特量表 间距离 中距离尺度 习惯性接纳 人为收集 分为李克 实际意义零点 尺度人为 应该负数 数据都是正 李克特 标尺正数 比例尺应该 特量表 理解中距离 看到李克特 统一标尺 觉得比例尺 都是正数 量表收集 量表记 零点无关 判断数值 数值间 定义判断 接纳统一 距离尺度 距离零点 零点位置 总数减 记分为 具体零点 数据定义 并不探讨 探讨具体 负数 反向问题 减得到 可能负
王*娇,2020/2/19 下午3:00:33,距离尺度 进行四则运算 尺度负 理解偏差 尺度范围 温度属于 属于距离 看到温度 不能进行
汪*,2020/2/21 上午12:57:26,乘除运算 加减运算 定尺度 进行加减 进行乘除 温度典型 典型定 不能进行
郭*,2020/2/19 下午8:24:19,一般来说比例尺 中大多数 情况中大 比例尺值 绝对界限 绝对零点 比例尺度 事物存在 有着绝对 多数情况下 认为一般来说 表示数值 表示事物 不能负 值不能 尺度中 实际情况 情况下表示 表示没有 中表示
汪*池,2020/2/21 下午2:44:24,绝对零点 距离尺度 区分距离 尺度比例 比例尺度 帮区分 零点真的 同意观点 真的挺 重要概念 挺重要 能够帮 发现绝对 明确问题
