id,time,cosine,jaccard,words_cosine,sum_sim,content
夏*,2020/2/18 下午10:10:51,0.744929273,0.098765432,0.91407153,0.667959441,这四种尺度包含的信息量依次递增的，一般而言信息量越多能够使我们的数据分析更加的精确，那么我们在实际中对这四种尺度应该如何选择？
李*秀,2020/2/18 下午11:02:10,0.833069598,0.166666667,0.940029884,0.719949008,名义尺度：1.表示的是个体的属性或是类别，可以用数值表示，也可用非数值表示，这里的数值仅具有符号的意义，不能进行代数运算；2.例如1903班；3.可用百分比、众数分析中；也可用于卡方检验中；序数尺度：1.主要是对数值群进行排序，有顺序之分；2.例如全班学生按成绩排1-55名，那么1-55就是用序数尺度表示的数字，这里的数字只可比较大小，不能进行运算；3.可用于方差分析、相关分析中；距离尺度：1.指数值间的距离，可进行加减法运算，但要求具有等价的单位，不要求确定的零点位置；2.在测量温度时，可任意取零点位置，例如37摄氏度；3.适合用于计算算术平均值、标准差或求相关系数等统计方法中；比例尺度：1.表示距离尺度值，数据的比例关系要有意义，必须是数值型；2.身高、体重等数值都是比例尺度值，例如体重40千克，身高160厘米；3.可用于各种统计方法；
尹*华,2020/2/18 下午5:26:00,0.768235627,0.113924051,0.923448722,0.68226428,1.数值仅具有符号意义，可以用来表示不同类别的符号（如1901班，男女生分别用0、1表示）2.不能运算3.在方差分析、T检验中可用作为类别变量
尹*华,2020/2/18 下午5:27:06,0.785106997,0.2,0.906418662,0.699486081,1.表示教育现象中的顺序排列，如成绩排名1--50名，这50个数字都是序数尺度的数字2.只能进行关系运算，不能进行算数运算3.可用于求教学中顺序关系的表示
尹*华,2020/2/18 下午5:32:18,0.746853877,0.146341463,0.923324151,0.684960911,1.又称间隔尺度，指数值之间的距离（间隔）2.不要求确定的零点位置3.可算术运算4.可用于计算平均值、标准差、求相关系数等数据分析方法
尹*华,2020/2/18 下午5:35:44,0.650687551,0.063492063,0.898387171,0.627738489,是不是距离尺度值可以为负数，而比例尺度值不能为负？
尹*华,2020/2/18 下午5:37:12,0.617179114,0.058823529,0.918321433,0.628161377,从比例尺度的定义来看，好像比例尺度是某一种距离尺度，他们有没有这种包含关系呢？如果二者有包含关系，那为什么要提4种尺度，3种不就够了吗？
冯*娜,2020/2/18 下午6:12:31,0.808781481,0.148514851,0.933383249,0.706015708,名义尺度：1、是根据食物的某一特点，对事物属性进行分类，例如性别分为“男”、“女”两个类别（正常情况下）2、统计方法可以用百分比、众等描述性统计，卡方检验序数尺度：1、是根据事物某一特点，将事物属性分成等级，用数字表示，例如学生的成绩排名2、统计方法可以用百分比、中位数等描述性统计方法以及方差检验距离尺度：1、距离尺度中原点不是固定的，测量单位也是认为的，即“约定”好的，例如温度计，华氏摄氏度和摄氏度的不同也即是原点不同2、统计方法可以用平均数、标准差等描述性统计方法，还可以用t检验；比例尺度：1、具有类别、等级、等距特征，也具有绝对零点。比例尺度的原点代表绝对的“无”，就是没有，数据之间不但可以比较差值，他们之间的比例也是有意义的。2、统计方法可以用各种数据分析方法
夏*,2020/2/18 下午8:45:29,0.847315968,0.07826087,0.941466884,0.702127651,我觉得你的这个提问有些不妥。我从定义上来看，比例尺度比距离尺度包含的范围要广一点，应该说是距离尺度是某种特定的比例尺度，不知道我的理解对不。有人认为距离尺度和比例尺度属于同一测度层次，所以可以把后两种数据看作是同一类数据，统称为定量数据或数值性数据。但是我觉得有时候面对不同的需求需要将它们进行一定的区分，虽然我感觉上确实没有多大的区别，目前我知道的有运算的范围和距离尺度没有真正的零点等。可能标准不一样，就需要对它们进行区分。
夏*,2020/2/18 下午9:07:09,0.863299925,0.102362205,0.942663361,0.712747213,名义尺度1.名义尺度的数量仅具有符号意义，每一类答案只表示分类；2.实例：性别的编号、班级的编号，组别、性别、科系、职业、宗教信仰。例如，数字只代表类别，没有顺序，不能比大小，不能四则计算。比如邮编，你不能说100086号是100000号+86号，也不能说100086比100085大，有100086号有100088号也不意味着一定有100087号。3.运算：不能进行任何运算。4.可以进行频数分析、比率分析，求众数；卡方、二项式检验。序数尺度1.序数尺度是将事物依其特征或属性的大小、或多少的程度，排成顺序或等级，序数尺度的数量仅具有排序意义。2.实例：体育竞赛的冠军、亚军，高考第一、第二；例如，你可以说五星级宾馆比四星级宾馆等级高，但不能说三星级+二星级就是五星级，因而这种数据的运算是无意义的。3.运算：只能进行比较运算、不能进行四则运算。4.可以进行频数分析、比例分析，求众数；序列相关、方差分析。距离尺度1.距离尺度的数量表示距离单位等价；2.实例：高考录取按总分进行，天气预报中的温度10°C、20°C等；例如，时刻，你可以说两点比一点晚，且晚一小时，但不能说两点是一点的二倍。3.运算：只能进行加减运算、求平均，不能进行乘除运算。4.可以进行简单相关、T检验、方差、回归、因子分析。比例尺度：1.比例尺度的数量表示距离单位等价，有绝对零点，有顺序，可以比大小，数据差值和比例都有意义。2.实例：人的身长、体重，学习所用的时间等；例如开氏温度，你可以说20K比10K高，且高10K，而且20K是10K的二倍。又比如时间，你可以说两小时比一小时长，且长一小时，而且两小时是一小时的二倍。3.运算：可以进行加减、乘除运算。4.所有统计量均可对其进行分析。四种尺度所包含的信息量是依次递增的，级别由低到高；根据较高层次的计量尺度可以获得较低层次的计量尺度；不同尺度数据对应着不同数据显示方法和分析方法。
尹*华,2020/2/19 上午10:14:09,0.691457394,0.072463768,0.908388755,0.645174668,距离尺度”的那个例子举得很好。“根据较高层次的计量尺度可以获得较低层次的计量尺度”，这句话不是很懂，如果能举个例子那就更好了
尹*华,2020/2/19 上午10:17:11,0.63301785,0.042253521,0.901820759,0.619728222,我看到有人说“具有绝对零度的距离尺度值就是比例尺度”，那不就是说，比例尺度是距离尺度的某种特殊情况？
林*如,2020/2/19 下午11:57:00,0.752816334,0.091743119,0.921664729,0.671972228,四种数量化尺度：1.名义尺度：也称定类尺度或类别尺度，是将调查对象分类，标以各种名称确定其类别的方法，实质上是一种分类体系。可用于聚类分析、特征分析。2.序数尺度：序数尺度的数据多用于排序。可用于回归分析、非参数检验，序列相关、方差分析。3.距离尺度：又称间隔尺度，不仅提供数据的排序，还保证相邻赋值之间的差别是相同的。因此，这些赋值之间是可以进行有意义的加减运算的。例如，摄氏和华氏的尺度就是这类区间型度量尺度。可用于标准偏差，相关分析。4.比例尺度：代表要求最高的度量标准。该尺度不仅具有区间度量尺度的所有特征，而且拥有一个真正的零点作为数据的原点。比例尺度的数据可用于各种数据分析方法。
林*如,2020/2/19 下午1:02:03,0.80431355,0.121495327,0.935156756,0.699030597,我觉得两者不能算包含关系，因为如下：包含关系是一种属种关系，就比如人类属于哺乳动物，哺乳动物包含人类这个群体，人类具有哺乳动物所有的特点。但比例尺度和距离尺度两者间如果具备包含关系，假设比例尺度包含距离尺度，距离尺度不具备比例尺度具有绝对零点和数值可以乘除的特点，假设不成立。假设距离尺度包含比例尺度，但对“0”这个数值的统计学含义都不同，怎么可以说是包含关系呢？绝对零点的含义，我觉得不是简单的有无这个零点的特点，而是“0”这个数值在距离尺度和比例尺度的统计学意义是不一样的。在距离尺度中，计量值为0仍然具有客观内容的价值，表示“0”水平，比如某学生考试“0”分，不表示这个学生没有考试成绩，而是这个学生的客观成绩为0分。但在比例尺度中“0”表示的就是没有，不存在的统计学意义，例如某人的收入为“0”，就是表示这个人没有收入。所以我觉得两者之间没有包含的关系，两者都隶属于计量尺度，名义尺度、序数尺度、距离尺度、比例尺度是四种不同的计量尺度。欢迎批评指正。
林*如,2020/2/19 下午1:27:59,0.844342302,0.115702479,0.9413806,0.710701495,我觉得这四种尺度的选择可以考虑以下几个因素：1、研究类型。名义尺度、序数尺度，主要适用于定性数据的收集，利于定性研究，更加关注研究被试的本质特点并加以区分，分类；而距离尺度、比例尺度，主要适用于定量数据的收集，利于定量研究，更加关注统计量数值之间的关系。2、数据处理方法。因为研究类型的不同，对于数据处理的方法就有不同的要求，如果对数据进行频数统计等就可以满足研究目的，就可以选择名义尺度、序数尺度；如果需要对数据进行运算分析才能达到研究目的，就需要选择距离尺度和比例尺度。3、研究结论。我觉得想要得到不同的研究结论就需要选择不同的尺度，例如结合现在国内疫情情况，如果我得出把人群分为四类的结论，那就只用到名义尺度1表示健康、2表示疑似、3表示轻症患者、4表示重症患者。但如果我要比较A地区和B地区的患者人数，得出A地区患者人数是B地区患者人数的两倍的结论，可能就要用到比例尺度。这是我目前的一些想法，欢迎批评指正。
周*,2020/2/19 下午1:39:51,0.776219505,0.11627907,0.931814225,0.689031756,我觉得大家对于四种尺度的解释都很好，但我想问一下，就比如现在疫情情况将患者分为重症患者和轻症患者，然后分别统计了重症患者和轻症患者的人数。这里面有对患者进行分类，然后对于统计的人数也可以进行运算比较，并得到有统计学意义的数据。那是既用到了序数尺度又用到了比例尺度还是只用到了比例尺度？
王*娇,2020/2/19 下午2:28:21,0.800994578,0.146788991,0.941811292,0.707851538,名义尺度：名义尺度的数值仅具符号的意义。名义尺度的数字多用于表示不同的数别，它为教育信息的表示，存贮带来了很大的方便。序数尺度：序数尺度的数字多用于表示某些现象的排列顺序，可比较其大小，但不能进行四则运算，所以对这类数字的数值群的处理较多。距离尺度：距离尺度又称间隔尺度，是指数值间的距离（间隔），具有加法性。距离尺度要求具有等价的单位，但不要求确定的零点位置。对距离尺度的数字可以计算算术平均值、计算标准差，求相关系数等各种统计处理。比例尺度：比例尺度是一种具有绝对零度的距离尺度值。表示身长、体重的数值是比例尺度值。对比例尺度的数字可进行各种统计处理。
王*娇,2020/2/19 下午2:32:24,0.815475727,0.113207547,0.931243901,0.697792769,我觉得距离尺度和比例尺度不能混为一谈，像身高、体重这些数据本身是具有实际意义的，他属于定比数据，是可以进行四则运算的，但是对于像学习兴趣这一隐变量无法用数据定量说明时，利用显变量的问题级可以将这些数据进行量化，这种类似于李克特量表所得到的记分数据就需要距离变量来说明。
